Location,Country
  United States,USA
" Haverhill, Massachusetts, United States",USA
" Houston, Texas, U.S.",USA
 London ,UK
" London, Ontario, Canada",Canada
" Los Angeles, California, USA",USA
" Munich, Bavaria, Germany",Germany
" Panama City, Panama",Panama
" San Francisco, California, USA",USA
" Stockholm,  Sweden",Sweden
" Stockholm, Stockholms län, Sweden",Sweden
" Tokyo, Japan",Japan
" Watford, Hertfordshire, England, UK",UK
"Abbott, Texas, USA",USA
"Aberdeen, South Dakota, USA",USA
"Adelaide, Australia",Australia
"Adelaide, South Australia, Australia",Australia
"Akron, Ohio, USA",USA
"Akureyri, Iceland",Iceland
"Alessandria, Piedmont, Italy",Italy
"Alexandria, Virginia, USA",USA
"Alger, Algeria",Algeria
Algiers,Algeria
"Algiers, Algeria",Algeria
"Almería, Andalucía, Spain",Spain
"Alton, Illinois, USA",USA
"Anaheim, California, USA",USA
"Ankara, Turkey",Turkey
"Antioch, California, USA",USA
"Artemisa, Cuba",Cuba
"Asahikawa, Hokkaido Prefecture, Japan",Japan
"Atami, Shizuoka, Japan",Japan
"Atlanta, Georgia, USA",USA
"Atlantic City, New Jersey, U.S.",USA
"Auckland, New Zealand",New Zealand
"Ballarat, Victoria, Australia",Australia
"Baltimore, Maryland, USA",USA
"Bangalore, India",India
"Bangalore, Karnataka, India",India
"Bari, Italy",Italy
"Bayfield, Wisconsin, USA",USA
"Beaconsfield, Buckinghamshire, England, UK",UK
"Beirut, Lebanon",Lebanon
"Belfast, Northern Ireland, UK",UK
Belleville - Illinois - USA,USA
"Bend, Oregon, USA",USA
"Bennington, Omaha, Nebraska, USA",USA
"Berkeley, California, USA",USA
"Berlin, Germany",Germany
"Berlin, West Germany (now Germany)",Germany
"Berne, Switzerland",Switzerland
"Besançon, France",France
"Bexley, Kent, England, UK",UK
"Bielsko-Biala, Slaskie, Polska",Poland
"Bijnor, Uttar Pradesh, India",India
"Birmingham, England, UK",UK
"Bishopston, Bristol, England, UK",UK
"Bloomington, Indiana, USA",USA
"Bollschweil, Germany",Germany
"Bolton, Lancashire, England, UK ",UK
"Bombay, Maharashtra, India",India
"Boston, Massachusetts, USA",USA
"Boyne City, Michigan, USA",USA
Brazil,Brazil
"Bremen, Germany",Germany
"Breslau, Silesia, Germany [now Wroclaw, Dolnoslaskie, Poland]",Poland
"Brest, France",France
"Bridgeton, New Jersey, USA",USA
"Brighton, Melbourne, Victoria, Australia",Australia
"Brisbane, Queensland, Australia",Australia
"Bristol, England, UK",UK
"Brixton, London, England, UK",UK
"Brno, Czech Republic",Czech Republic
"Broadstairs, Kent, England, UK",UK
"Bromley, England, UK",UK
"Bromley, Kent, England, UK",UK
"Bronx, New York City, New York, USA",USA
"Bronx, New York, USA",USA
"Brooklyn, NY",USA
"Brooklyn, New York",USA
"Brooklyn, New York City, New York, USA",USA
"Brooklyn, New York,  USA",USA
"Brooklyn, New York, USA",USA
"Brooklyn, New York, United States",USA
"Bucharest, Romania",Romania
"Budapest, Austria-Hungary [now Hungary]",Hungary
"Budapest, Hungary",Hungary
"Buenos Aires City, Buenos Aires, Argentina",Argentina
"Buenos Aires, Argentina",Argentina
Buffalo - New York - USA,USA
"Buffalo, NY",USA
"Buffalo, New York, USA",USA
Bukarest-Romania,Romania
"Burano, Veneto, Italy",Italy
Burbank - California - USA,USA
"Burlington, Ontario, Canada",Canada
"Burton-on-Trent, Staffordshire, England",UK
"Bécon-les-Bruyères, Paris, France",France
"Cairo, Egypt",Egypt
"Calgary, Alberta, Canada",Canada
"California, USA",USA
"Calumet, Michigan, USA",USA
"Cambridge, England, UK",UK
"Cambridge, Massachusetts, USA",USA
"Campobasso, Molise, Italy",Italy
"Cannes, Alpes-Maritimes, France",France
"Canterbury, Kent, England, UK",UK
"Canton, Ohio, USA",USA
"Carthage, New York, USA",USA
"Changhua, Taiwan",Taiwan
"Chapel Hill, North Carolina, USA",USA
"Chatham, England, UK",UK
"Chattanooga, Tennessee, USA",USA
"Cheltenham, Gloucestershire, England, UK",UK
"Chennai, Tamil Nadu, India",India
"Chennai, Tamilnadu,  India",India
"Cheshire, England, UK",UK
"Chester, Pennsylvania, USA",USA
"Chiba, Japan",Japan
"Chicago, Illinois, U.S",USA
"Chicago, Illinois, USA",USA
"Chichester, Sussex, England, UK",UK
China,China
"Chiswick, London, England, UK",UK
"Chobham, Surrey",UK
"Chobham, Surrey, England, UK",UK
"Ciboure, Pyrénées-Atlantiques, France",France
"Ciudad Juárez, Chihuahua, Mexico",Mexico
"Cleveland, Ohio, USA",USA
"Coimbatore, Tamilnadu, India",India
"Cologne, Germany",Germany
"Cologne, North Rhine-Westphalia, Germany",Germany
"Connecticut, USA",USA
"Consort, Alberta, Canada",Canada
"Constantinople, Ottoman Empire [now Istanbul, Turkey]",Turkey
"Coral Gables, Florida, USA",USA
"Corby, Northamptonshire, England, UK",UK
"Coronado, California, USA",USA
"Corvallis, Oregon, USA",USA
"Coventry, West Midlands, England, UK",UK
"Covington, Tennessee, USA",USA
"Croix-des-Bouquets, Haiti",Haiti
"Crystal Falls, Michigan, USA",USA
"Cumberland, England, UK",UK
"Cumbria, England, UK",UK
"Dallas, Texas, USA",USA
"Danbury, Essex, England, UK",UK
"Dartford, Kent, England, UK",UK
"Dayton, OH",USA
"Decatur, Georgia, USA",USA
"Delhi, India",India
"Denver, Colorado, USA",USA
"Derry, Northern Ireland, UK",UK
"Detroit, Michigan, USA",USA
"Diyarbakır, Turkey",Turkey
"Donostia-San Sebastián, Guipúzcoa, País Vasco, Spain",Spain
"Douglas, Isle of Man, UK",Isle of Man
"Dublin, Ireland",Ireland
"Duisburg, Germany",Germany
"Duluth, Minnesota, USA",USA
"Dumbarton, Dunbartonshire, Scotland, UK",UK
"Durgapur, West Bengal, India",India
"Durham, Hertfordshire, England, UK",UK
"Dębica, Podkarpackie, Polska",Poland
"East Dereham, Norfolk, England, UK",UK
"East Godavari, Andhra Pradesh, India",India
"El Palomar, Buenos Aires, Argentina",Argentina
"Elizabeth, New Jersey, USA",USA
"Elk City, Oklahoma, USA",USA
"Elk Grove Village, Illinois, USA",USA
"Enfield, London, England, UK",UK
"England, UK",UK
"Eston, Saskatchewan, Canada",Canada
Ethiopia,Ethiopia
"Eureka, California, USA",USA
"Fall River, Massachusetts, United States",USA
"Faxe, Denmark",Denmark
Flint - Michigan - USA,USA
"Florence, Italy",Italy
"Forchheim, Germany",Germany
"Fort Atkinson, Wisconsin, USA",USA
"Fort Campbell, Kentucky, USA",USA
"Fort Scott, Kansas, United States",USA
"Fort Worth, Texas, USA",USA
